nombre,codigo_barra,categoria,fecha_caducidad,marca,precio,stock
Ron_107,00108,Cat3,2026-12-24,Marca3,95.35,11
Vodka_108,00109,Cat4,2026-01-25,Marca4,21.14,6
Ginebra_109,00110,Cat5,2026-02-26,Marca5,42.08,146
Pan_110,00111,Cat6,2026-03-27,Marca6,9.68,98
Leche_111,00112,Cat7,2026-04-28,Marca7,12.22,163
Arroz_112,00113,Cat8,2026-05-01,Marca1,44.37,130
Frijol_113,00114,Cat9,2026-06-02,Marca2,80.59,147
Azucar_114,00115,Cat10,2026-07-03,Marca3,33.99,179
Cafe_115,00116,Cat11,2026-08-04,Marca4,91.08,48
Te_116,00117,Cat12,2026-09-05,Marca5,29.06,172
Jugo_117,00118,Cat13,2026-10-06,Marca6,88.11,200
Agua_118,00119,Cat14,2026-11-07,Marca7,41.14,143
Galletas_119,00120,Cat15,2026-12-08,Marca1,17.54,73
Chocolate_120,00121,Cat1,2026-01-09,Marca2,37.37,99
Cereal_121,00122,Cat2,2026-02-10,Marca3,1.8,134
Miel_122,00123,Cat3,2026-03-11,Marca4,26.73,131
Huevos_123,00124,Cat4,2026-04-12,Marca5,51.24,184
Queso_124,00125,Cat5,2026-05-13,Marca6,46.73,145
Yogurt_125,00126,Cat6,2026-06-14,Marca7,46.95,103
Mantequilla_126,00127,Cat7,2026-07-15,Marca1,81.42,32
Harina_127,00128,Cat8,2026-08-16,Marca2,41.72,110
Sal_128,00129,Cat9,2026-09-17,Marca3,56.0,18
Aceite_129,00130,Cat10,2026-10-18,Marca4,42.63,116
Soda_130,00131,Cat11,2026-11-19,Marca5,11.3,135
Atun_131,00132,Cat12,2026-12-20,Marca6,74.96,70
Sopa_132,00133,Cat13,2026-01-21,Marca7,30.17,183
Pasta_133,00134,Cat14,2026-02-22,Marca1,60.1,119
Mayonesa_134,00135,Cat15,2026-03-23,Marca2,72.97,175
Ketchup_135,00136,Cat1,2026-04-24,Marca3,3.87,47
Mostaza_136,00137,Cat2,2026-05-25,Marca4,91.93,133
Vinagre_137,00138,Cat3,2026-06-26,Marca5,46.62,196
Avena_138,00139,Cat4,2026-07-27,Marca6,44.93,197
Granola_139,00140,Cat5,2026-08-28,Marca7,9.28,83
Helado_140,00141,Cat6,2026-09-01,Marca1,16.88,60
Pizza_141,00142,Cat7,2026-10-02,Marca2,79.18,181
Hamburguesa_142,00143,Cat8,2026-11-03,Marca3,45.08,144
Pollo_143,00144,Cat9,2026-12-04,Marca4,93.04,146
Carne_144,00145,Cat10,2026-01-05,Marca5,10.58,51
Pescado_145,00146,Cat11,2026-02-06,Marca6,63.1,73
Mariscos_146,00147,Cat12,2026-03-07,Marca7,85.0,153
Tortillas_147,00148,Cat13,2026-04-08,Marca1,17.28,138
Empanadas_148,00149,Cat14,2026-05-09,Marca2,24.59,146
Tamales_149,00150,Cat15,2026-06-10,Marca3,31.91,131
Chorizo_150,00151,Cat1,2026-07-11,Marca4,42.84,158
Jamón_151,00152,Cat2,2026-08-12,Marca5,64.47,96
Salchichas_152,00153,Cat3,2026-09-13,Marca6,80.47,112
Refresco_153,00154,Cat4,2026-10-14,Marca7,17.66,122
Energizante_154,00155,Cat5,2026-11-15,Marca1,7.76,77
AguaMineral_155,00156,Cat6,2026-12-16,Marca2,39.82,152
TéFrío_156,00157,Cat7,2026-01-17,Marca3,48.66,95
Batido_157,00158,Cat8,2026-02-18,Marca4,20.29,33
Licor_158,00159,Cat9,2026-03-19,Marca5,48.95,177
Cerveza_159,00160,Cat10,2026-04-20,Marca6,3.82,168
Vino_160,00161,Cat11,2026-05-21,Marca7,90.72,115
Whisky_161,00162,Cat12,2026-06-22,Marca1,99.76,40
Ron_162,00163,Cat13,2026-07-23,Marca2,92.59,186
Vodka_163,00164,Cat14,2026-08-24,Marca3,5.52,29
Ginebra_164,00165,Cat15,2026-09-25,Marca4,81.81,3
Pan_165,00166,Cat1,2026-10-26,Marca5,21.35,200
Leche_166,00167,Cat2,2026-11-27,Marca6,50.05,141
Arroz_167,00168,Cat3,2026-12-28,Marca7,74.77,9
Frijol_168,00169,Cat4,2026-01-01,Marca1,24.89,108
Azucar_169,00170,Cat5,2026-02-02,Marca2,8.78,66
Cafe_170,00171,Cat6,2026-03-03,Marca3,45.68,4
Te_171,00172,Cat7,2026-04-04,Marca4,35.12,36
Jugo_172,00173,Cat8,2026-05-05,Marca5,69.56,159
Agua_173,00174,Cat9,2026-06-06,Marca6,25.4,33
Galletas_174,00175,Cat10,2026-07-07,Marca7,75.88,34
Chocolate_175,00176,Cat11,2026-08-08,Marca1,21.23,88
Cereal_176,00177,Cat12,2026-09-09,Marca2,90.77,68
Miel_177,00178,Cat13,2026-10-10,Marca3,50.22,179
Huevos_178,00179,Cat14,2026-11-11,Marca4,51.06,164
Queso_179,00180,Cat15,2026-12-12,Marca5,87.93,117
Yogurt_180,00181,Cat1,2026-01-13,Marca6,91.93,46
Mantequilla_181,00182,Cat2,2026-02-14,Marca7,20.69,112
Harina_182,00183,Cat3,2026-03-15,Marca1,16.46,161
Sal_183,00184,Cat4,2026-04-16,Marca2,48.03,173
Aceite_184,00185,Cat5,2026-05-17,Marca3,97.9,181
Soda_185,00186,Cat6,2026-06-18,Marca4,13.73,150
Atun_186,00187,Cat7,2026-07-19,Marca5,16.43,131
Sopa_187,00188,Cat8,2026-08-20,Marca6,70.55,31
Pasta_188,00189,Cat9,2026-09-21,Marca7,96.98,93
Mayonesa_189,00190,Cat10,2026-10-22,Marca1,67.55,191
Ketchup_190,00191,Cat11,2026-11-23,Marca2,62.34,182
Mostaza_191,00192,Cat12,2026-12-24,Marca3,53.91,1
Vinagre_192,00193,Cat13,2026-01-25,Marca4,7.63,63
Avena_193,00194,Cat14,2026-02-26,Marca5,99.89,109
Granola_194,00195,Cat15,2026-03-27,Marca6,42.92,177
Helado_195,00196,Cat1,2026-04-28,Marca7,52.9,114
Pizza_196,00197,Cat2,2026-05-01,Marca1,41.44,103
Hamburguesa_197,00198,Cat3,2026-06-02,Marca2,17.86,107
Pollo_198,00199,Cat4,2026-07-03,Marca3,42.97,77
Carne_199,00200,Cat5,2026-08-04,Marca4,78.97,199
Pescado_200,00201,Cat6,2026-09-05,Marca5,35.12,86
Mariscos_201,00202,Cat7,2026-10-06,Marca6,26.89,58
Tortillas_202,00203,Cat8,2026-11-07,Marca7,91.96,4
Empanadas_203,00204,Cat9,2026-12-08,Marca1,97.11,22
Tamales_204,00205,Cat10,2026-01-09,Marca2,70.35,8
Chorizo_205,00206,Cat11,2026-02-10,Marca3,1.01,149
Jamón_206,00207,Cat12,2026-03-11,Marca4,29.52,47
Salchichas_207,00208,Cat13,2026-04-12,Marca5,35.96,73
Refresco_208,00209,Cat14,2026-05-13,Marca6,78.97,11
Energizante_209,00210,Cat15,2026-06-14,Marca7,56.82,185
AguaMineral_210,00211,Cat1,2026-07-15,Marca1,42.97,161
TéFrío_211,00212,Cat2,2026-08-16,Marca2,80.12,127
Batido_212,00213,Cat3,2026-09-17,Marca3,94.12,94
Licor_213,00214,Cat4,2026-10-18,Marca4,43.13,175
Cerveza_214,00215,Cat5,2026-11-19,Marca5,65.82,92
Vino_215,00216,Cat6,2026-12-20,Marca6,78.74,187
Whisky_216,00217,Cat7,2026-01-21,Marca7,3.36,153
Ron_217,00218,Cat8,2026-02-22,Marca1,67.55,97
Vodka_218,00219,Cat9,2026-03-23,Marca2,19.57,157
Ginebra_219,00220,Cat10,2026-04-24,Marca3,18.55,188
Pan_220,00221,Cat11,2026-05-25,Marca4,90.19,14
Leche_221,00222,Cat12,2026-06-26,Marca5,92.27,77
Arroz_222,00223,Cat13,2026-07-27,Marca6,54.91,134
Frijol_223,00224,Cat14,2026-08-28,Marca7,5.83,175
Azucar_224,00225,Cat15,2026-09-01,Marca1,32.99,28
Cafe_225,00226,Cat1,2026-10-02,Marca2,65.95,91
Te_226,00227,Cat2,2026-11-03,Marca3,81.49,39
Jugo_227,00228,Cat3,2026-12-04,Marca4,78.46,12
Agua_228,00229,Cat4,2026-01-05,Marca5,90.77,58
Galletas_229,00230,Cat5,2026-02-06,Marca6,67.43,61
Chocolate_230,00231,Cat6,2026-03-07,Marca7,37.98,157
Cereal_231,00232,Cat7,2026-04-08,Marca1,66.14,13
Miel_232,00233,Cat8,2026-05-09,Marca2,46.55,35
Huevos_233,00234,Cat9,2026-06-10,Marca3,29.81,131
Queso_234,00235,Cat10,2026-07-11,Marca4,14.11,180
Yogurt_235,00236,Cat11,2026-08-12,Marca5,46.22,27
Mantequilla_236,00237,Cat12,2026-09-13,Marca6,91.85,182
Harina_237,00238,Cat13,2026-10-14,Marca7,30.01,130
Sal_238,00239,Cat14,2026-11-15,Marca1,37.15,8
Aceite_239,00240,Cat15,2026-12-16,Marca2,38.71,177
Soda_240,00241,Cat1,2026-01-17,Marca3,31.34,123
Atun_241,00242,Cat2,2026-02-18,Marca4,4.53,120
Sopa_242,00243,Cat3,2026-03-19,Marca5,80.0,180
Pasta_243,00244,Cat4,2026-04-20,Marca6,68.42,135
Mayonesa_244,00245,Cat5,2026-05-21,Marca7,47.15,188
Ketchup_245,00246,Cat6,2026-06-22,Marca1,22.34,121
Mostaza_246,00247,Cat7,2026-07-23,Marca2,88.02,177
Vinagre_247,00248,Cat8,2026-08-24,Marca3,46.01,142
Avena_248,00249,Cat9,2026-09-25,Marca4,49.02,24
Granola_249,00250,Cat10,2026-10-26,Marca5,78.57,200
Helado_250,00251,Cat11,2026-11-27,Marca6,28.29,23
Pizza_251,00252,Cat12,2026-12-28,Marca7,38.63,125
Hamburguesa_252,00253,Cat13,2026-01-01,Marca1,18.71,161
Pollo_253,00254,Cat14,2026-02-02,Marca2,54.49,112
Carne_254,00255,Cat15,2026-03-03,Marca3,50.36,57
Pescado_255,00256,Cat1,2026-04-04,Marca4,62.27,12
Mariscos_256,00257,Cat2,2026-05-05,Marca5,79.26,88
Tortillas_257,00258,Cat3,2026-06-06,Marca6,40.43,134
Empanadas_258,00259,Cat4,2026-07-07,Marca7,33.76,188
Tamales_259,00260,Cat5,2026-08-08,Marca1,40.93,104
Chorizo_260,00261,Cat6,2026-09-09,Marca2,67.28,121
Jamón_261,00262,Cat7,2026-10-10,Marca3,19.2,3
Salchichas_262,00263,Cat8,2026-11-11,Marca4,95.99,8
Refresco_263,00264,Cat9,2026-12-12,Marca5,3.31,50
Energizante_264,00265,Cat10,2026-01-13,Marca6,45.45,149
AguaMineral_265,00266,Cat11,2026-02-14,Marca7,77.67,191
TéFrío_266,00267,Cat12,2026-03-15,Marca1,56.43,49
Batido_267,00268,Cat13,2026-04-16,Marca2,15.19,83
Licor_268,00269,Cat14,2026-05-17,Marca3,97.75,200
Cerveza_269,00270,Cat15,2026-06-18,Marca4,62.92,144
Vino_270,00271,Cat1,2026-07-19,Marca5,38.21,144
Whisky_271,00272,Cat2,2026-08-20,Marca6,96.29,26
Ron_272,00273,Cat3,2026-09-21,Marca7,2.73,44
Vodka_273,00274,Cat4,2026-10-22,Marca1,73.4,171
Ginebra_274,00275,Cat5,2026-11-23,Marca2,32.56,56
Pan_275,00276,Cat6,2026-12-24,Marca3,19.68,48
Leche_276,00277,Cat7,2026-01-25,Marca4,19.89,184
Arroz_277,00278,Cat8,2026-02-26,Marca5,49.43,102
Frijol_278,00279,Cat9,2026-03-27,Marca6,14.5,63
Azucar_279,00280,Cat10,2026-04-28,Marca7,22.11,5
Cafe_280,00281,Cat11,2026-05-01,Marca1,6.93,8
Te_281,00282,Cat12,2026-06-02,Marca2,44.57,179
Jugo_282,00283,Cat13,2026-07-03,Marca3,13.93,153
Agua_283,00284,Cat14,2026-08-04,Marca4,31.75,9
Galletas_284,00285,Cat15,2026-09-05,Marca5,70.62,13
Chocolate_285,00286,Cat1,2026-10-06,Marca6,17.2,12
Cereal_286,00287,Cat2,2026-11-07,Marca7,25.88,70
Miel_287,00288,Cat3,2026-12-08,Marca1,23.22,31
Huevos_288,00289,Cat4,2026-01-09,Marca2,68.37,149
Queso_289,00290,Cat5,2026-02-10,Marca3,86.73,159
Yogurt_290,00291,Cat6,2026-03-11,Marca4,48.53,147
Mantequilla_291,00292,Cat7,2026-04-12,Marca5,4.83,111
Harina_292,00293,Cat8,2026-05-13,Marca6,40.77,20
Sal_293,00294,Cat9,2026-06-14,Marca7,33.84,89
Aceite_294,00295,Cat10,2026-07-15,Marca1,97.13,45
Soda_295,00296,Cat11,2026-08-16,Marca2,62.63,52
Atun_296,00297,Cat12,2026-09-17,Marca3,77.39,182
Sopa_297,00298,Cat13,2026-10-18,Marca4,80.05,65
Pasta_298,00299,Cat14,2026-11-19,Marca5,35.74,90
Mayonesa_299,00300,Cat15,2026-12-20,Marca6,14.64,8
Ketchup_300,00301,Cat1,2026-01-21,Marca7,31.56,67
Mostaza_301,00302,Cat2,2026-02-22,Marca1,71.65,167
Vinagre_302,00303,Cat3,2026-03-23,Marca2,20.05,78
Avena_303,00304,Cat4,2026-04-24,Marca3,81.24,70
Granola_304,00305,Cat5,2026-05-25,Marca4,32.67,158
Helado_305,00306,Cat6,2026-06-26,Marca5,21.05,11
Pizza_306,00307,Cat7,2026-07-27,Marca6,56.75,160
Hamburguesa_307,00308,Cat8,2026-08-28,Marca7,29.58,93
Pollo_308,00309,Cat9,2026-09-01,Marca1,68.23,36
Carne_309,00310,Cat10,2026-10-02,Marca2,29.69,117
Pescado_310,00311,Cat11,2026-11-03,Marca3,69.39,163
Mariscos_311,00312,Cat12,2026-12-04,Marca4,81.3,167
Tortillas_312,00313,Cat13,2026-01-05,Marca5,34.84,165
Empanadas_313,00314,Cat14,2026-02-06,Marca6,67.82,197
Tamales_314,00315,Cat15,2026-03-07,Marca7,97.16,53
Chorizo_315,00316,Cat1,2026-04-08,Marca1,55.04,196
Jamón_316,00317,Cat2,2026-05-09,Marca2,96.93,33
Salchichas_317,00318,Cat3,2026-06-10,Marca3,19.24,147
Refresco_318,00319,Cat4,2026-07-11,Marca4,79.32,17
Energizante_319,00320,Cat5,2026-08-12,Marca5,54.9,72
AguaMineral_320,00321,Cat6,2026-09-13,Marca6,25.62,162
TéFrío_321,00322,Cat7,2026-10-14,Marca7,58.52,151
Batido_322,00323,Cat8,2026-11-15,Marca1,95.36,36
Licor_323,00324,Cat9,2026-12-16,Marca2,1.51,29
Cerveza_324,00325,Cat10,2026-01-17,Marca3,65.72,193
Vino_325,00326,Cat11,2026-02-18,Marca4,89.27,17
Whisky_326,00327,Cat12,2026-03-19,Marca5,78.81,63
Ron_327,00328,Cat13,2026-04-20,Marca6,20.07,80
Vodka_328,00329,Cat14,2026-05-21,Marca7,81.75,126
Ginebra_329,00330,Cat15,2026-06-22,Marca1,77.18,121
Pan_330,00331,Cat1,2026-07-23,Marca2,45.18,39
Leche_331,00332,Cat2,2026-08-24,Marca3,91.96,16
Arroz_332,00333,Cat3,2026-09-25,Marca4,92.97,120
Frijol_333,00334,Cat4,2026-10-26,Marca5,4.21,83
Azucar_334,00335,Cat5,2026-11-27,Marca6,32.4,164
Cafe_335,00336,Cat6,2026-12-28,Marca7,3.89,156
Te_336,00337,Cat7,2026-01-01,Marca1,61.13,65
Jugo_337,00338,Cat8,2026-02-02,Marca2,81.76,68
Agua_338,00339,Cat9,2026-03-03,Marca3,95.69,154
Galletas_339,00340,Cat10,2026-04-04,Marca4,92.2,83
Chocolate_340,00341,Cat11,2026-05-05,Marca5,17.71,4
Cereal_341,00342,Cat12,2026-06-06,Marca6,19.8,49
Miel_342,00343,Cat13,2026-07-07,Marca7,94.07,17
Huevos_343,00344,Cat14,2026-08-08,Marca1,15.33,112
Queso_344,00345,Cat15,2026-09-09,Marca2,18.38,190
Yogurt_345,00346,Cat1,2026-10-10,Marca3,52.87,72
Mantequilla_346,00347,Cat2,2026-11-11,Marca4,45.45,80
Harina_347,00348,Cat3,2026-12-12,Marca5,43.72,116
Sal_348,00349,Cat4,2026-01-13,Marca6,28.71,142
Aceite_349,00350,Cat5,2026-02-14,Marca7,28.53,159
Soda_350,00351,Cat6,2026-03-15,Marca1,72.29,38
Atun_351,00352,Cat7,2026-04-16,Marca2,79.63,119
Sopa_352,00353,Cat8,2026-05-17,Marca3,13.73,116
Pasta_353,00354,Cat9,2026-06-18,Marca4,2.75,110
Mayonesa_354,00355,Cat10,2026-07-19,Marca5,56.59,139
Ketchup_355,00356,Cat11,2026-08-20,Marca6,12.17,46
Mostaza_356,00357,Cat12,2026-09-21,Marca7,13.66,152
Vinagre_357,00358,Cat13,2026-10-22,Marca1,63.78,180
Avena_358,00359,Cat14,2026-11-23,Marca2,30.48,20
Granola_359,00360,Cat15,2026-12-24,Marca3,53.91,61
Helado_360,00361,Cat1,2026-01-25,Marca4,4.14,12
Pizza_361,00362,Cat2,2026-02-26,Marca5,60.81,52
Hamburguesa_362,00363,Cat3,2026-03-27,Marca6,8.92,191
Pollo_363,00364,Cat4,2026-04-28,Marca7,37.63,136
Carne_364,00365,Cat5,2026-05-01,Marca1,42.58,104
Pescado_365,00366,Cat6,2026-06-02,Marca2,99.97,103
Mariscos_366,00367,Cat7,2026-07-03,Marca3,26.35,147
Tortillas_367,00368,Cat8,2026-08-04,Marca4,64.31,132
Empanadas_368,00369,Cat9,2026-09-05,Marca5,52.07,87
Tamales_369,00370,Cat10,2026-10-06,Marca6,27.72,120
Chorizo_370,00371,Cat11,2026-11-07,Marca7,23.64,111
Jamón_371,00372,Cat12,2026-12-08,Marca1,24.59,175
Salchichas_372,00373,Cat13,2026-01-09,Marca2,89.33,109
Refresco_373,00374,Cat14,2026-02-10,Marca3,47.27,103
Energizante_374,00375,Cat15,2026-03-11,Marca4,45.2,156
AguaMineral_375,00376,Cat1,2026-04-12,Marca5,45.1,193
TéFrío_376,00377,Cat2,2026-05-13,Marca6,43.06,49
Batido_377,00378,Cat3,2026-06-14,Marca7,16.91,178
Licor_378,00379,Cat4,2026-07-15,Marca1,45.47,113
Cerveza_379,00380,Cat5,2026-08-16,Marca2,2.15,184
Vino_380,00381,Cat6,2026-09-17,Marca3,14.47,97
Whisky_381,00382,Cat7,2026-10-18,Marca4,72.94,139
Ron_382,00383,Cat8,2026-11-19,Marca5,17.25,7
Vodka_383,00384,Cat9,2026-12-20,Marca6,38.77,198
Ginebra_384,00385,Cat10,2026-01-21,Marca7,49.7,139
Pan_385,00386,Cat11,2026-02-22,Marca1,18.45,93
Leche_386,00387,Cat12,2026-03-23,Marca2,90.58,68
Arroz_387,00388,Cat13,2026-04-24,Marca3,73.57,97
Frijol_388,00389,Cat14,2026-05-25,Marca4,45.15,44
Azucar_389,00390,Cat15,2026-06-26,Marca5,11.46,99
Cafe_390,00391,Cat1,2026-07-27,Marca6,85.84,138
Te_391,00392,Cat2,2026-08-28,Marca7,67.33,70
Jugo_392,00393,Cat3,2026-09-01,Marca1,33.97,83
Agua_393,00394,Cat4,2026-10-02,Marca2,15.65,63
Galletas_394,00395,Cat5,2026-11-03,Marca3,4.45,99
Chocolate_395,00396,Cat6,2026-12-04,Marca4,17.44,120
Cereal_396,00397,Cat7,2026-01-05,Marca5,18.68,11
Miel_397,00398,Cat8,2026-02-06,Marca6,62.87,48
Huevos_398,00399,Cat9,2026-03-07,Marca7,30.79,136
Queso_399,00400,Cat10,2026-04-08,Marca1,84.41,62
Yogurt_400,00401,Cat11,2026-05-09,Marca2,34.26,124
Mantequilla_401,00402,Cat12,2026-06-10,Marca3,12.99,69
Harina_402,00403,Cat13,2026-07-11,Marca4,85.07,125
Sal_403,00404,Cat14,2026-08-12,Marca5,43.22,1
Aceite_404,00405,Cat15,2026-09-13,Marca6,41.59,190
Soda_405,00406,Cat1,2026-10-14,Marca7,36.48,126
Atun_406,00407,Cat2,2026-11-15,Marca1,45.65,127
Sopa_407,00408,Cat3,2026-12-16,Marca2,3.75,155
Pasta_408,00409,Cat4,2026-01-17,Marca3,87.61,137
Mayonesa_409,00410,Cat5,2026-02-18,Marca4,12.28,173
Ketchup_410,00411,Cat6,2026-03-19,Marca5,34.42,24
Mostaza_411,00412,Cat7,2026-04-20,Marca6,1.29,115
Vinagre_412,00413,Cat8,2026-05-21,Marca7,94.64,67
Avena_413,00414,Cat9,2026-06-22,Marca1,7.98,115
Granola_414,00415,Cat10,2026-07-23,Marca2,39.2,97
Helado_415,00416,Cat11,2026-08-24,Marca3,57.2,74
Pizza_416,00417,Cat12,2026-09-25,Marca4,28.3,135
Hamburguesa_417,00418,Cat13,2026-10-26,Marca5,3.17,13
Pollo_418,00419,Cat14,2026-11-27,Marca6,67.87,108
Carne_419,00420,Cat15,2026-12-28,Marca7,68.54,23
Pescado_420,00421,Cat1,2026-01-01,Marca1,64.88,157
